timestamp,value,hour,day_of_week,is_weekend,lag_1,lag_12,lag_288,rolling_mean_6,rolling_std_6
2024-01-02 00:00:00,657.0247966933758,0,1,0,824.7079301621144,814.9764923893367,722.4178538252809,781.919391897879,70.82927047090577
2024-01-02 00:05:00,634.4325120044851,0,1,0,657.0247966933758,794.9945780710301,706.5433924707204,757.8157084770718,93.10443086164933
2024-01-02 00:10:00,644.7969437410682,0,1,0,634.4325120044851,811.7450521247505,726.1922134525173,721.3942267061819,86.05101247667338
2024-01-02 00:15:00,637.6749766335291,0,1,0,644.7969437410682,800.367160078456,748.0757464102006,700.8070886431138,89.33699144959017
2024-01-02 00:20:00,635.2658810763947,0,1,0,637.6749766335291,812.8379336312812,704.1461656319166,672.3171733851613,75.12960827936404
2024-01-02 00:25:00,671.2400524255256,0,1,0,635.2658810763947,826.5532668630261,704.1465760762704,646.7391937623964,14.663624313701385
2024-01-02 00:30:00,658.9253871491262,0,1,0,671.2400524255256,849.6504204036338,749.4803203876847,647.0559588383549,14.948023488018734
2024-01-02 00:35:00,632.6772601184837,0,1,0,658.9253871491262,779.0546125293288,729.1858682288228,646.7634168573546,15.258434474330583
2024-01-02 00:40:00,672.4899968858313,0,1,0,632.6772601184837,863.3258343664066,698.2631403516262,651.3789257148151,18.40799546067964
2024-01-02 00:45:00,657.6824880219152,0,1,0,672.4899968858313,761.1978050119375,723.5640010896491,654.7135109462129,17.201694159275885
2024-01-02 00:50:00,670.321552970974,0,1,0,657.6824880219152,806.2053726241104,698.4145576796884,660.5561229286426,15.10016814062859
2024-01-02 00:55:00,665.7407210480903,0,1,0,670.321552970974,824.7079301621144,698.3567561607435,659.6395676990702,14.47597082484582
2024-01-02 01:00:00,629.2751247269482,1,1,0,665.7407210480903,657.0247966933758,716.0490567891509,654.6978572953738,19.093113886813732
2024-01-02 01:05:00,635.9954739950757,1,1,0,629.2751247269482,634.4325120044851,662.167993883555,655.2508929414724,18.36176647277422
2024-01-02 01:10:00,668.6823401280816,1,1,0,635.9954739950757,644.7969437410682,666.8770541871742,654.6162834818475,17.700695092160984
2024-01-02 01:15:00,665.2592566358367,1,1,0,668.6823401280816,637.6749766335291,695.9428117689757,655.8790782508344,18.225676378295496
2024-01-02 01:20:00,649.4774601508963,1,1,0,665.2592566358367,635.2658810763947,684.6792219916395,652.4050627808215,16.85739798766108
2024-01-02 01:25:00,652.9331845827196,1,1,0,649.4774601508963,671.2400524255256,717.8561833148818,650.2704733699263,15.594612108479026
2024-01-02 01:30:00,681.9416223947106,1,1,0,652.9331845827196,658.9253871491262,687.2993981119697,659.0482229812201,16.22296717957723
2024-01-02 01:35:00,635.2107152791043,1,1,0,681.9416223947106,632.6772601184837,674.6924074666177,658.9174298618915,16.44760296905336
2024-01-02 01:40:00,663.677434529251,1,1,0,635.2107152791043,672.4899968858313,746.6412192230389,658.083278928753,15.973400028729376
2024-01-02 01:45:00,644.9451836891526,1,1,0,663.677434529251,657.6824880219152,704.3555924878366,654.6976001043057,16.297763688600988
2024-01-02 01:50:00,644.5579699193195,1,1,0,644.9451836891526,670.321552970974,711.6882051171981,653.8776850657096,16.73089466453842
2024-01-02 01:55:00,677.4694212996798,1,1,0,644.5579699193195,665.7407210480903,674.3812953446636,657.9670578518696,19.261123020453322
2024-01-02 02:00:00,670.6354087247007,2,1,0,677.4694212996798,629.2751247269482,696.3904318868705,656.0826889068679,16.848481183407326
2024-01-02 02:05:00,670.337740900016,2,1,0,670.6354087247007,635.9954739950757,712.7730647427467,661.9371931770198,14.009086291776189
2024-01-02 02:10:00,682.6369701788582,2,1,0,670.337740900016,668.6823401280816,681.2251605644424,665.0971157852879,16.412276845535846
2024-01-02 02:15:00,650.525096040819,2,1,0,682.6369701788582,665.2592566358367,719.3924504586417,666.0271011772322,15.151688430819425
2024-01-02 02:20:00,667.0488242823741,2,1,0,650.525096040819,649.4774601508963,694.9840327520299,669.7755769044079,10.988013569284721
