ds,yhat,yhat_lower,yhat_upper,y,cutoff
2024-01-03 14:20:00,937.8164758648402,843.1668479445964,1027.3174061432965,934.7120549252012,2024-01-03 14:19:00
2024-01-03 14:25:00,933.4950644872042,844.9306807474613,1027.9901716195873,914.8334725787944,2024-01-03 14:19:00
2024-01-03 14:30:00,929.0956499723,839.8332552630841,1026.8198715706324,926.9191688472274,2024-01-03 14:19:00
2024-01-03 14:35:00,924.6605597692626,837.3039201839765,1017.2108970156785,916.2078848595916,2024-01-03 14:19:00
2024-01-03 14:40:00,920.2332733189771,836.9916186203717,1020.5689277776768,925.6031686755668,2024-01-03 14:19:00
2024-01-03 14:45:00,915.8580778863753,826.4103154623399,1004.9542451567517,976.341044915196,2024-01-03 14:19:00
2024-01-03 14:50:00,911.5797156289966,821.3470913688095,1005.3563683032204,926.2650277792014,2024-01-03 14:19:00
2024-01-03 14:55:00,907.4430244457005,818.161975083567,1004.5016604241376,1015.8095516209348,2024-01-03 14:19:00
2024-01-03 15:00:00,903.4925754671865,812.2654256388148,991.3809017875351,962.3329475220222,2024-01-03 14:19:00
2024-01-03 15:05:00,899.7723099128473,808.44397989292,989.1123277169602,954.6209030923718,2024-01-03 14:19:00
2024-01-03 15:10:00,896.3251781672095,808.1361296211584,989.0848188072805,928.5410554954695,2024-01-03 14:19:00
2024-01-03 15:15:00,893.1927837969338,802.3177844072451,984.0362056880317,967.5077469852248,2024-01-03 14:19:00
2024-01-03 15:20:00,890.4150353148506,796.2478103446202,988.5298052352624,935.6090543440556,2024-01-03 14:19:00
2024-01-03 15:25:00,888.0298083791027,794.7471457011957,977.9261418996042,953.050245366134,2024-01-03 14:19:00
2024-01-03 15:30:00,886.0726210378839,789.8154474494343,971.7153330392589,1014.0021134567198,2024-01-03 14:19:00
2024-01-03 15:35:00,884.5763246245137,789.9919688273313,982.0435861773874,947.5985025068836,2024-01-03 14:19:00
2024-01-03 15:40:00,883.5708126327668,790.5440334297128,973.6549687369188,978.731833157142,2024-01-03 14:19:00
2024-01-03 15:45:00,883.0827499599022,787.7338059602396,977.2771962158653,932.4205893718528,2024-01-03 14:19:00
2024-01-03 15:50:00,883.1353246050242,786.3039729403985,973.9641943418229,949.125287737576,2024-01-03 14:19:00
2024-01-03 15:55:00,883.7480238357787,792.0091234135343,964.7589828987955,994.2700158908876,2024-01-03 14:19:00
2024-01-03 16:00:00,884.9364366153418,793.886166246197,983.4087294245844,934.3258235553058,2024-01-03 14:19:00
2024-01-03 16:05:00,886.7120839023895,798.5574175811007,976.1647681498348,995.3112139499232,2024-01-03 14:19:00
2024-01-03 16:10:00,889.0822782183617,798.7136648696745,979.1326741878801,967.6937983863868,2024-01-03 14:19:00
2024-01-03 16:15:00,892.0500136902498,798.2852405145436,987.001206920921,935.9383306026432,2024-01-03 14:19:00
2024-01-03 16:20:00,895.6138874789002,806.5811578197379,983.3414449206498,965.810193476388,2024-01-03 14:19:00
2024-01-03 16:25:00,899.7680533768815,814.7295715759392,994.828435888849,974.3138612406684,2024-01-03 14:19:00
2024-01-03 16:30:00,904.5022080115657,815.695198971526,993.0093347515922,965.54524905543,2024-01-03 14:19:00
2024-01-03 16:35:00,909.801609917554,823.7629423519332,1007.5154274876995,910.7443820027386,2024-01-03 14:19:00
